model_name,lr,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
studio-ousia/luke-japanese-base-lite,5e-05,13,0.9731860115903948,0.01046712955702906,0.970108695652174,0.9671712874191836,0.9628725028120493,0.9646175059058673
cl-tohoku/bert-base-japanese-whole-word-masking,5e-05,9,0.9654032528282558,4.343916257114514e-05,0.96875,0.9658907778511323,0.963746490123714,0.9644600326795809
cl-tohoku/bert-base-japanese-v2,5e-05,9,0.9672144444978882,1.587970030453542e-05,0.96875,0.9641995015208553,0.9645619070518967,0.9642857487777206
cl-tohoku/bert-large-japanese,1e-05,14,0.9613073812131732,8.425286859678833e-06,0.970108695652174,0.9677074058019275,0.9620579209850821,0.9642466437675318
studio-ousia/luke-japanese-large-lite,1e-05,9,0.9727597738641758,0.0005273388536727947,0.970108695652174,0.9656332324090893,0.9629835356644159,0.9640365538555593
cl-tohoku/bert-base-japanese-v3,5e-05,13,0.9715090487864061,0.00021241182137442672,0.96875,0.9658555512470703,0.9627886451858235,0.9639172275240635
cl-tohoku/bert-base-japanese-v2,3e-05,7,0.9618507864110506,0.001678766439790311,0.967391304347826,0.964752029246868,0.9629136610433748,0.9633427120676732
cl-tohoku/bert-large-japanese-v2,1e-05,5,0.9738005698083073,0.0001132118961085444,0.967391304347826,0.9656746194737741,0.9609654714470326,0.9626031688833093
cl-tohoku/bert-large-japanese-char-v2,3e-05,16,0.9592427785466501,0.014843723048334536,0.967391304347826,0.9663115069555209,0.959849892028046,0.962350909916791
studio-ousia/mluke-large-lite,3e-05,17,0.9657439662039291,0.0002081041305285433,0.96875,0.9629213890280524,0.9607069333238749,0.96160130937943
cl-tohoku/bert-base-japanese,3e-05,6,0.966716985736648,0.0038873838341754417,0.967391304347826,0.9620198298847006,0.9615802535669135,0.9615671825196155
cl-tohoku/bert-base-japanese-v2,1e-05,6,0.9615521017965963,0.0010342133919829907,0.967391304347826,0.962000095675056,0.9618281998167263,0.9615263189795206
bert-base-multilingual-cased,5e-05,15,0.9620682725123305,1.92398134538013e-05,0.9660326086956522,0.9625054039683284,0.9606018764758684,0.961195554917367
xlm-roberta-base,5e-05,10,0.9648023564108895,0.001497434209222379,0.9660326086956522,0.9613782334015709,0.960417665785215,0.9607809075604544
xlm-roberta-base,1e-05,15,0.9643574063783069,7.998038832422183e-05,0.9646739130434783,0.959440927052358,0.9622811646105518,0.9606843988864041
cl-tohoku/bert-base-japanese-char-v2,5e-05,14,0.9523335103601279,0.004338460124057272,0.9646739130434783,0.9611414387393956,0.9602471394499614,0.9602451845135932
cl-tohoku/bert-large-japanese-char-v2,1e-05,19,0.956036437040095,0.0001474128044007913,0.9646739130434783,0.9588824391170727,0.9598192204182762,0.9591458686216965
studio-ousia/mluke-large-lite,1e-05,9,0.9690493411535984,0.001147434925255568,0.9646739130434783,0.9633268348805074,0.9560683892362977,0.9587025258220265
cl-tohoku/bert-base-japanese-whole-word-masking,3e-05,9,0.9642480077902632,0.0033488668825315394,0.9646739130434783,0.9595812778107172,0.9584384904580612,0.958665409639662
xlm-roberta-large,5e-05,6,0.9565019896250944,0.000861010716661163,0.9633152173913043,0.9619913105140072,0.9551443103435999,0.9579193305040508
cl-tohoku/bert-base-japanese,5e-05,19,0.9643157540453551,4.0935777613650196e-05,0.9646739130434783,0.9594055501333799,0.956915164455549,0.9578999960748765
studio-ousia/mluke-base-lite,1e-05,10,0.9667572871317063,0.005579081566437431,0.9646739130434783,0.9573873338649075,0.9587910759615581,0.9578659717250706
cl-tohoku/bert-base-japanese,1e-05,7,0.9654186261994657,0.0023639608660469885,0.9646739130434783,0.9576922862452952,0.9571652663952638,0.9571578861809498
cl-tohoku/bert-base-japanese-char-v3,5e-05,15,0.9654906407904633,0.001314284684865371,0.9633152173913043,0.956945163400538,0.9574516862693796,0.9569830403755406
cl-tohoku/bert-base-japanese-char-v3,3e-05,7,0.9615379895363129,8.218494021212277e-05,0.9633152173913043,0.9598001955473221,0.954523921817737,0.9564948976705107
bert-base-multilingual-cased,1e-05,10,0.9564020914958681,0.009866498086763464,0.9619565217391305,0.9546019083939563,0.956258396222996,0.9552070307742978
cl-tohoku/bert-base-japanese-char-v2,3e-05,11,0.9568366619053356,8.497648346035376e-05,0.9605978260869565,0.9561816474467076,0.9526441303255991,0.9539286102000774
cl-tohoku/bert-large-japanese-char-v2,5e-05,16,0.9651988359021085,7.712019040532734e-06,0.9592391304347826,0.9572504445386034,0.9517143433359815,0.9537508210462886
xlm-roberta-large,3e-05,5,0.9579736422370438,0.004672625790471616,0.9578804347826086,0.9550130784825994,0.9508563237249342,0.9526776766461121
cl-tohoku/bert-base-japanese-whole-word-masking,1e-05,7,0.9666119485671791,0.0011994586852581604,0.9578804347826086,0.9523627260241978,0.9525066751864468,0.9521039782651941
cl-tohoku/bert-base-japanese-char,3e-05,12,0.9566941967581258,0.0016382696188014486,0.9592391304347826,0.9515871365788402,0.9527599020454743,0.951924201422291
cl-tohoku/bert-base-japanese-char-v3,1e-05,14,0.9600248121269725,0.0005949993577340375,0.9578804347826086,0.9523474955646672,0.9502281176258516,0.9510685646296887
cl-tohoku/bert-base-japanese-char,5e-05,19,0.9554789880930016,0.0012592360701249993,0.9578804347826086,0.9501014505396714,0.9518947067392869,0.9507663804828831
cl-tohoku/bert-base-japanese-char,1e-05,7,0.9577310424962108,0.00023697964523149574,0.9510869565217391,0.9491478786293794,0.938180169213655,0.941705850419144
cl-tohoku/bert-base-japanese-char-v2,1e-05,3,0.9491936263417937,0.003155147251875504,0.9429347826086957,0.9345902733615247,0.9327626582166272,0.9326712072522574
